"","var1","AshFDwPM","bladeLength","bladeMaxWidth","bladeThickness","densityBlades","dryWgtPerM","percDryWgt","stipeDiameter","stipeLength"
"1","AshFDwPM",0.00706309480906009,NA,NA,NA,NA,0.0124328819976809,0.0163948244453636,NA,NA
"2","bladeLength",-3.17262274083849,4364.49854972186,NA,NA,-1021.79928332821,-5.45422550328763,-6.8141399210879,NA,NA
"3","bladeMaxWidth",-0.112344525526207,-365.723421734929,256.684729849816,NA,-13.2410465619248,-0.267046398300765,-5.68479147879509,NA,NA
"4","bladeThickness",0.523176650302771,-297.876823663511,-24.2251344425154,55.2347091309781,264.553500323461,0.944469014335997,1.63069740362951,NA,NA
"5","densityBlades",2.9786492234783,NA,NA,NA,3340.59398487591,5.77007517450252,-16.3512805677452,NA,NA
"6","dryWgtPerM",NA,NA,NA,NA,NA,0.02215269007887,0.0239371623571878,NA,NA
"7","percDryWgt",NA,NA,NA,NA,NA,NA,0.704012941844175,NA,NA
"8","stipeDiameter",3.81660271236067,-1766.21482265726,-358.792904912823,319.557471152179,1825.33022370627,6.97515705182798,10.1196852103412,3578.87147367315,120.65692767598
"9","stipeLength",0.19168743606274,-47.7867674252749,-30.78712961462,37.0734544874293,-52.353000920867,0.27638708386687,2.61826144840654,NA,245.72947389898
