"","CC","NC","NL","JS","OI","SF","LD","CB"
"wetWgtPerM",-0.0287739288441511,0.200761437234031,0.179040074981539,-0.257365451568566,0.0780989223638069,0.0279739312087647,0.427715885398046,-0.0563319665203463
"percDryWgt",-0.0876996449831033,0.516677830612957,0.175674619049472,0.2888370744683,-0.121873896223142,-0.225077615341323,-0.134077965477662,0.0268851276575254
"dryWgtPerM",-0.0382653093938369,0.143586879458564,0.0541485001721144,-0.0437434635965201,0.012109663294425,-0.0618837934322357,0.447060761090092,-0.0706001695889054
"Ash",0.0968453607901994,0.0639271091599535,-0.00605176621081691,0.0712885593203475,0.325741140331868,-0.146105218866563,0.0989651186823864,0.00767170103337819
"AshFDwPM",-0.0537764457666495,0.234831244574484,-0.181148632110661,0.0667892901387049,-0.149749655504536,-0.131815753309759,0.198382241336239,-0.164141778140221
"bladeLength",-0.317118235591245,0.116837632208597,-0.109387505153469,0.245058192623269,0.277838360366197,0.459195038908177,0.496412678483155,-0.0899957909366017
"bladeMaxWidth",0.133438151809652,0.107082669789871,0.173955005275935,0.2150434413322,0.0811787578340427,-0.277208087562936,0.0208544003351514,0.308875216624209
"bladeThickness",0.197524526195647,0.0387071935398768,0.407522236837448,0.201132111591464,0.181615939652599,0.124364620849576,0.216018169192396,0.549689908124242
"stipeLength",0.269407026308629,-0.172468454449909,0.168147038169959,0.21209965831095,0.110833149555656,0.0806806726145108,-0.102942852820984,0.272590070031227
"stipeDiameter",0.176242686241393,0.308020041999642,0.439001362972818,-0.0493619036694739,-0.0367678483465715,-0.551530202030183,0.214406974933808,-0.178276010418357
